"45"	"3309.00"
"79"	"3790.00"
"96"	"3924.00"
"23"	"4042.00"
"99"	"4172.00"
"75"	"4178.00"
"36"	"4278.00"
"98"	"4297.00"
"47"	"4316.00"
"77"	"4327.00"
"13"	"4367.00"
"48"	"4384.00"
"49"	"4394.00"
"94"	"4475.00"
"67"	"4505.00"
"50"	"4517.00"
"78"	"4524.00"
"5"	"4561.00"
"57"	"4628.00"
"83"	"4635.00"
"91"	"4642.00"
"74"	"4647.00"
"84"	"4652.00"
"3"	"4659.00"
"12"	"4664.00"
"66"	"4681.00"
"56"	"4701.00"
"21"	"4707.00"
"80"	"4727.00"
"14"	"4735.00"
"37"	"4735.00"
"7"	"4755.00"
"44"	"4756.00"
"31"	"4765.00"
"82"	"4812.00"
"4"	"4815.00"
"10"	"4819.00"
"88"	"4830.00"
"20"	"4836.00"
"89"	"4851.00"
"95"	"4876.00"
"38"	"4898.00"
"76"	"4904.00"
"86"	"4908.00"
"27"	"4915.00"
"18"	"4921.00"
"53"	"4945.00"
"1"	"4958.00"
"51"	"4975.00"
"16"	"4979.00"
"30"	"4990.00"
"28"	"5000.00"
"22"	"5019.00"
"17"	"5032.00"
"29"	"5032.00"
"60"	"5040.00"
"25"	"5057.00"
"19"	"5059.00"
"81"	"5112.00"
"69"	"5123.00"
"65"	"5140.00"
"11"	"5152.00"
"35"	"5155.00"
"40"	"5186.00"
"87"	"5206.00"
"52"	"5245.00"
"26"	"5250.00"
"62"	"5253.00"
"33"	"5254.00"
"24"	"5259.00"
"93"	"5265.00"
"64"	"5288.00"
"90"	"5290.00"
"55"	"5298.00"
"9"	"5322.00"
"34"	"5330.00"
"72"	"5337.00"
"43"	"5368.00"
"70"	"5368.00"
"92"	"5379.00"
"6"	"5397.00"
"15"	"5413.00"
"63"	"5415.00"
"58"	"5437.00"
"32"	"5496.00"
"61"	"5497.00"
"85"	"5503.00"
"8"	"5517.00"
"0"	"5524.00"
"41"	"5637.00"
"59"	"5642.00"
"42"	"5696.00"
"46"	"5963.00"
"97"	"5977.00"
"2"	"5994.00"
"71"	"5995.00"
"54"	"6065.00"
"39"	"6193.00"
"73"	"6206.00"
"68"	"6375.00"
